Ship_Name;MMSI;Origin_Port;Destination_Port;Draught;Length;Width;Congestion;Wind;Visibility;Arrival_Time;Crew_ETA
MISTRAL             ;230925000;Rotterdam;Felixstowe;6.2;153.0;20.0;0.0;2.24;10000.0;2026-04-29 17:24:55.573170297;{'Day': 28, 'Hour': 17, 'Minute': 30, 'Month': 5}
ATLANTIC PERFORMER;244710207;Rotterdam;Antwerp;0.0;135.0;14.0;6.0;1.79;10000.0;2026-04-29 19:16:34.582530396;{'Day': 25, 'Hour': 23, 'Minute': 0, 'Month': 5}
MISTRAL             ;230925000;Felixstowe;Rotterdam;6.2;153.0;20.0;17.0;4.22;10000.0;2026-04-30 05:30:31.116255842;{'Day': 28, 'Hour': 17, 'Minute': 30, 'Month': 5}
SOMTRANS X;205369090;Antwerp;Rotterdam;0.1;135.0;15.0;16.0;4.22;10000.0;2026-04-30 07:57:07.249344982;{'Day': 3, 'Hour': 1, 'Minute': 0, 'Month': 11}
INDUS;205529590;Rotterdam;Antwerp;0.4;110.0;23.0;3.0;1.79;10000.0;2026-05-04 08:26:06.664301080;{'Day': 28, 'Hour': 14, 'Minute': 38, 'Month': 5}
HMM SOUTHAMPTON     ;440363000;Rotterdam;Hamburg;11.8;400.0;62.0;11.0;5.14;10000.0;2026-05-04 08:26:07.835324241;{'Day': 11, 'Hour': 11, 'Minute': 30, 'Month': 5}
MSC VITA            ;255806493;Bremerhaven;Antwerp;13.6;300.0;48.0;3.0;1.79;10000.0;2026-05-04 08:26:08.965205698;{'Day': 9, 'Hour': 7, 'Minute': 0, 'Month': 5}
SEATTLE BRIDGE      ;353903000;Hong;Singapore;14.1;293.0;40.0;185.0;4.12;10000.0;2026-05-04 08:26:09.740809771;{'Day': 28, 'Hour': 3, 'Minute': 0, 'Month': 5}
ACACIA SEAWAYS;277574000;Rotterdam;Felixstowe;6.5;210.0;26.0;0.0;2.24;10000.0;2026-05-04 08:26:13.257701907;{'Day': 28, 'Hour': 3, 'Minute': 0, 'Month': 5}
FIDELITAS;253242033;Antwerp;Rotterdam;1.4;125.0;12.0;15.0;4.22;10000.0;2026-05-04 08:26:15.306654168;{'Day': 23, 'Hour': 19, 'Minute': 37, 'Month': 5}
INSPIRATION;244822424;Antwerp;Rotterdam;3.0;125.0;15.0;15.0;4.22;10000.0;2026-05-04 08:26:17.115356150;{'Day': 26, 'Hour': 21, 'Minute': 35, 'Month': 5}
ANTIGUA;244830109;Antwerp;Rotterdam;2.6;85.0;10.0;15.0;4.22;10000.0;2026-05-04 08:26:18.834558988;{'Day': 27, 'Hour': 17, 'Minute': 39, 'Month': 5}
VINOTRA 10;244730150;Antwerp;Rotterdam;1.7;135.0;23.0;15.0;4.22;10000.0;2026-05-04 08:26:18.923353930;{'Day': 24, 'Hour': 4, 'Minute': 50, 'Month': 5}
SOMBRA;244010511;Antwerp;Rotterdam;3.2;111.0;12.0;15.0;4.22;10000.0;2026-05-04 08:26:21.299978059;{'Day': 19, 'Hour': 8, 'Minute': 19, 'Month': 5}
SUEZMAX;244660401;Antwerp;Rotterdam;3.4;135.0;12.0;15.0;4.22;10000.0;2026-05-04 08:26:27.513478929;{'Day': 6, 'Hour': 8, 'Minute': 4, 'Month': 5}
ZIM VIETNAM         ;636022113;Rotterdam;Le;11.3;304.0;40.0;1.0;;;2026-05-04 08:26:35.993120651;{'Day': 12, 'Hour': 14, 'Minute': 0, 'Month': 5}
VERTOM ISA          ;255915933;Rotterdam;Antwerp;4.2;88.0;14.0;3.0;1.79;10000.0;2026-05-04 08:26:40.831175061;{'Day': 29, 'Hour': 20, 'Minute': 0, 'Month': 4}
EXCELLO;266273000;Antwerp;Le;6.7;155.0;22.0;1.0;;;2026-05-04 08:26:50.368390875;{'Day': 6, 'Hour': 4, 'Minute': 0, 'Month': 5}
IDUNA;244670789;Antwerp;Rotterdam;3.0;135.0;15.0;15.0;4.22;10000.0;2026-05-04 08:26:51.078772994;{'Day': 22, 'Hour': 11, 'Minute': 9, 'Month': 10}
SOVEREIGN;244170263;Antwerp;Rotterdam;0.4;135.0;14.0;15.0;4.22;10000.0;2026-05-04 08:26:53.365633415;{'Day': 26, 'Hour': 20, 'Minute': 54, 'Month': 5}
STOLT ZULU          ;636015971;Le;Antwerp;10.4;159.0;25.0;3.0;1.79;10000.0;2026-05-04 08:27:02.792538246;{'Day': 1, 'Hour': 10, 'Minute': 0, 'Month': 5}
OTTO H              ;538006810;Rotterdam;Antwerp;8.2;169.0;26.0;3.0;1.79;10000.0;2026-05-04 08:27:06.014684045;{'Day': 1, 'Hour': 4, 'Minute': 0, 'Month': 5}
OTD ALPHA           ;244670734;Rotterdam;Antwerp;1.3;110.0;12.0;3.0;1.79;10000.0;2026-05-04 08:27:06.891351358;{'Day': 13, 'Hour': 4, 'Minute': 0, 'Month': 5}
JEANINE;244650690;Rotterdam;Antwerp;0.0;135.0;15.0;3.0;1.79;10000.0;2026-05-04 08:27:11.261566677;{'Day': 24, 'Hour': 9, 'Minute': 9, 'Month': 5}
MARFRET NIOLON      ;253343000;Le;Antwerp;5.3;123.0;19.0;3.0;1.79;10000.0;2026-05-04 08:27:12.358627687;{'Day': 1, 'Hour': 7, 'Minute': 0, 'Month': 5}
BERNSTEIN           ;209341000;Rotterdam;Le;5.1;99.0;14.0;1.0;;;2026-05-04 08:27:16.833257927;{'Day': 23, 'Hour': 10, 'Minute': 0, 'Month': 5}
MACAO               ;255805611;Antwerp;Le;8.3;180.0;27.0;1.0;;;2026-05-04 08:27:22.674631786;{'Day': 6, 'Hour': 12, 'Minute': 0, 'Month': 5}
TANZANITE;205335490;Antwerp;Rotterdam;0.0;110.0;14.0;15.0;4.22;10000.0;2026-05-04 08:27:23.227298214;{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}
ECO TROPHY          ;255915600;Bremerhaven;Rotterdam;5.0;132.0;18.0;15.0;4.22;10000.0;2026-05-04 08:27:24.932359017;{'Day': 28, 'Hour': 4, 'Minute': 0, 'Month': 5}
LILAC ROLLER        ;538090647;Rotterdam;Hamburg;8.1;180.0;28.0;11.0;5.14;10000.0;2026-05-04 08:27:28.126017796;{'Day': 7, 'Hour': 0, 'Minute': 30, 'Month': 5}
GREAT COTONOU       ;247452100;Hamburg;Antwerp;9.0;249.0;39.0;3.0;1.79;10000.0;2026-05-04 08:27:29.328830435;{'Day': 30, 'Hour': 20, 'Minute': 0, 'Month': 4}
DAMIETTA EXPRESS    ;218038370;Rotterdam;Hamburg;10.8;400.0;61.0;11.0;5.14;10000.0;2026-05-04 08:27:35.276982424;{'Day': 8, 'Hour': 20, 'Minute': 0, 'Month': 5}
SYDBORG;244901000;Bremerhaven;Hamburg;5.8;89.0;13.0;11.0;5.14;10000.0;2026-05-04 08:27:44.340611524;{'Day': 6, 'Hour': 19, 'Minute': 0, 'Month': 5}
EUROPORTS;205505790;Antwerp;Rotterdam;2.0;134.0;16.0;15.0;4.22;10000.0;2026-05-04 08:27:44.756681129;{'Day': 25, 'Hour': 15, 'Minute': 0, 'Month': 5}
COSCO NEW YORK      ;355808000;Hong;Singapore;11.9;294.0;32.0;185.0;4.12;10000.0;2026-05-04 08:29:26.665325947;{'Day': 4, 'Hour': 1, 'Minute': 30, 'Month': 5}
STOLT VISION        ;636015738;Antwerp;Rotterdam;7.8;159.0;25.0;15.0;4.22;10000.0;2026-05-04 08:29:30.075770111;{'Day': 10, 'Hour': 2, 'Minute': 0, 'Month': 5}
JOY;269057560;Rotterdam;Antwerp;1.6;135.0;12.0;3.0;1.79;10000.0;2026-05-04 08:29:43.379197923;{'Day': 8, 'Hour': 7, 'Minute': 0, 'Month': 5}
ONERI;244041097;Rotterdam;Antwerp;3.7;135.0;18.0;3.0;1.79;10000.0;2026-05-04 08:29:43.541197083;{'Day': 29, 'Hour': 20, 'Minute': 12, 'Month': 4}
VOERENDAAL          ;244650611;Antwerp;Rotterdam;3.0;110.0;14.0;15.0;4.22;10000.0;2026-05-04 08:29:55.700248872;{'Day': 25, 'Hour': 20, 'Minute': 38, 'Month': 5}
NIKKI-RENEE;244660475;Antwerp;Rotterdam;20.0;122.0;14.0;15.0;4.22;10000.0;2026-05-04 08:29:59.885127778;{'Day': 30, 'Hour': 23, 'Minute': 38, 'Month': 4}
PROTEUS             ;205237290;Antwerp;Rotterdam;1.8;110.0;14.0;15.0;4.22;10000.0;2026-05-04 08:30:07.530003252;{'Day': 3, 'Hour': 9, 'Minute': 45, 'Month': 5}
LADY MARIA FISHER   ;232046269;Rotterdam;Hamburg;5.3;93.0;17.0;11.0;5.14;10000.0;2026-05-04 08:30:12.867989538;{'Day': 24, 'Hour': 9, 'Minute': 0, 'Month': 5}
TRANS FJORD         ;352003272;Antwerp;Hamburg;7.1;126.0;21.0;11.0;5.14;10000.0;2026-05-04 08:30:30.383313650;{'Day': 5, 'Hour': 19, 'Minute': 0, 'Month': 5}
RIVER DRONE 10;205566190;Rotterdam;Antwerp;1.9;106.0;12.0;3.0;1.79;10000.0;2026-05-04 08:30:32.296328847;{'Day': 20, 'Hour': 13, 'Minute': 19, 'Month': 5}
HENNEBURG           ;211511390;Antwerp;Rotterdam;2.4;135.0;12.0;15.0;4.22;10000.0;2026-05-04 08:30:38.803344276;{'Day': 18, 'Hour': 18, 'Minute': 0, 'Month': 5}
SOUTH DAKOTA;244137325;Antwerp;Rotterdam;1.9;110.0;12.0;15.0;4.22;10000.0;2026-05-04 08:30:41.405425131;{'Day': 30, 'Hour': 7, 'Minute': 0, 'Month': 5}
ATHENIAN FAITH      ;255916541;Le;Hamburg;9.1;150.0;23.0;11.0;5.14;10000.0;2026-05-04 08:30:47.566215066;{'Day': 26, 'Hour': 22, 'Minute': 30, 'Month': 4}
BERNARD M;244000935;Antwerp;Rotterdam;4.7;135.0;19.0;15.0;4.22;10000.0;2026-05-04 08:31:09.525230345;{'Day': 26, 'Hour': 4, 'Minute': 22, 'Month': 5}
CMA CGM TOKYO       ;249172000;Felixstowe;Hamburg;14.3;271.0;43.0;11.0;5.14;10000.0;2026-05-04 08:31:09.594234222;{'Day': 15, 'Hour': 20, 'Minute': 0, 'Month': 5}
LEENDERTANGELINA;244650909;Antwerp;Rotterdam;1.0;86.0;9.0;15.0;4.22;10000.0;2026-05-04 08:31:24.506163495;{'Day': 28, 'Hour': 5, 'Minute': 51, 'Month': 5}
CMA CGM FIDELIO;229808000;Rotterdam;Bremerhaven;13.5;349.0;42.0;3.0;7.09;6188.0;2026-05-04 08:31:26.917501384;{'Day': 16, 'Hour': 18, 'Minute': 0, 'Month': 5}
NAVIRA;205369890;Antwerp;Rotterdam;3.3;135.0;17.0;15.0;4.22;10000.0;2026-05-04 08:31:31.292387015;{'Day': 26, 'Hour': 15, 'Minute': 55, 'Month': 5}
WILSON CADIZ        ;314216000;Rotterdam;Hamburg;5.8;100.0;13.0;11.0;5.14;10000.0;2026-05-04 08:31:38.765290195;{'Day': 8, 'Hour': 13, 'Minute': 0, 'Month': 5}
COSCO HOPE          ;563286500;Bremerhaven;Le;14.3;366.0;48.0;1.0;;;2026-05-04 08:38:26.528775591;{'Day': 14, 'Hour': 7, 'Minute': 0, 'Month': 5}
MARA;205587190;Rotterdam;Antwerp;4.8;111.0;24.0;3.0;1.79;10000.0;2026-05-04 08:38:39.942834920;{'Day': 1, 'Hour': 11, 'Minute': 40, 'Month': 5}
ODYSSEY;244730614;Antwerp;Rotterdam;0.1;110.0;12.0;15.0;4.22;10000.0;2026-05-04 08:38:42.339234263;{'Day': 28, 'Hour': 10, 'Minute': 33, 'Month': 5}
KATE;244000211;Antwerp;Rotterdam;3.4;85.0;10.0;15.0;4.22;10000.0;2026-05-04 08:38:46.924850806;{'Day': 24, 'Hour': 7, 'Minute': 34, 'Month': 5}
EVA TOKYO           ;371809000;Antwerp;Rotterdam;5.0;146.0;24.0;15.0;4.22;10000.0;2026-05-04 08:39:53.671633951;{'Day': 11, 'Hour': 10, 'Minute': 0, 'Month': 5}
NAVIG8 EXECUTIVE;563257900;Rotterdam;Antwerp;8.7;183.0;32.0;3.0;1.79;10000.0;2026-05-04 08:39:54.042138314;{'Day': 10, 'Hour': 1, 'Minute': 0, 'Month': 5}
COASTALWATER;210727000;Antwerp;Le;5.3;122.0;16.0;1.0;;;2026-05-04 08:39:59.006799417;{'Day': 26, 'Hour': 22, 'Minute': 0, 'Month': 5}
NAGOYA EXPRESS      ;636093219;New;Savannah;12.3;335.0;42.0;2.0;1.99;10000.0;2026-05-04 08:39:59.845610865;{'Day': 5, 'Hour': 9, 'Minute': 0, 'Month': 5}
YM WREATH           ;563289200;Felixstowe;Rotterdam;11.7;368.0;51.0;15.0;4.22;10000.0;2026-05-04 08:40:11.020921732;{'Day': 14, 'Hour': 0, 'Minute': 0, 'Month': 5}
CORYLOPHIDA;253465000;Antwerp;Rotterdam;3.0;86.0;10.0;15.0;4.22;10000.0;2026-05-04 08:40:12.083325571;{'Day': 20, 'Hour': 12, 'Minute': 26, 'Month': 5}
BARBAROS ULUC VARDAL;352001852;Rotterdam;Hamburg;6.7;105.0;17.0;11.0;5.14;10000.0;2026-05-04 08:40:12.527954844;{'Day': 7, 'Hour': 4, 'Minute': 0, 'Month': 5}
S -INNE;244750074;Antwerp;Rotterdam;2.3;55.0;7.0;15.0;4.22;10000.0;2026-05-04 08:43:28.353482973;{'Day': 11, 'Hour': 20, 'Minute': 0, 'Month': 11}
NOORTJE B;205557790;Rotterdam;Antwerp;0.0;80.0;10.0;3.0;1.79;10000.0;2026-05-04 08:43:37.790567628;{'Day': 2, 'Hour': 0, 'Minute': 0, 'Month': 2}
MALIA;205542590;Antwerp;Rotterdam;3.7;110.0;14.0;15.0;4.22;10000.0;2026-05-04 08:43:47.923668129;{'Day': 19, 'Hour': 1, 'Minute': 9, 'Month': 5}
BOCHEM GHENT        ;477351300;Rotterdam;Antwerp;9.0;170.0;26.0;3.0;1.79;10000.0;2026-05-04 08:43:48.046484843;{'Day': 22, 'Hour': 10, 'Minute': 0, 'Month': 4}
MSC DOMNA X;636022657;Bremerhaven;Antwerp;14.6;347.0;43.0;3.0;1.79;10000.0;2026-05-04 08:43:49.277090419;{'Day': 15, 'Hour': 3, 'Minute': 0, 'Month': 5}
ARKLOW BRAVE;244730944;Bremerhaven;Hamburg;6.0;120.0;15.0;11.0;5.14;10000.0;2026-05-04 08:43:54.067985153;{'Day': 23, 'Hour': 9, 'Minute': 30, 'Month': 5}
CMA CGM BLUE WHALE;215175000;Le;Hamburg;12.2;295.0;33.0;11.0;5.14;10000.0;2026-05-04 08:43:56.205960227;{'Day': 29, 'Hour': 2, 'Minute': 30, 'Month': 4}
CMA CGM LOUGA;248655000;Rotterdam;Le;10.1;195.0;32.0;1.0;;;2026-05-04 08:43:56.980092011;{'Day': 5, 'Hour': 5, 'Minute': 30, 'Month': 4}
ELLEN               ;244060192;Antwerp;Rotterdam;2.5;110.0;12.0;15.0;4.22;10000.0;2026-05-04 08:43:57.065344270;{'Day': 21, 'Hour': 0, 'Minute': 33, 'Month': 5}
MSC SAUDI ARABIA    ;636025762;Le;Rotterdam;14.9;366.0;51.0;15.0;4.22;10000.0;2026-05-04 08:44:03.945973759;{'Day': 29, 'Hour': 19, 'Minute': 30, 'Month': 4}
RIVER DRONE 6;205567790;Antwerp;Rotterdam;1.5;106.0;12.0;15.0;4.22;10000.0;2026-05-04 08:45:31.113934623;{'Day': 28, 'Hour': 9, 'Minute': 36, 'Month': 5}
SOMTRANS X;205369090;Rotterdam;Antwerp;0.1;135.0;15.0;3.0;1.79;10000.0;2026-05-04 08:46:06.506812561;{'Day': 3, 'Hour': 1, 'Minute': 0, 'Month': 11}
AMY;255915975;Bremerhaven;Antwerp;6.4;147.0;23.0;3.0;1.79;10000.0;2026-05-04 08:46:22.146239384;{'Day': 6, 'Hour': 17, 'Minute': 0, 'Month': 5}
MELIUS;244005969;Antwerp;Rotterdam;3.5;135.0;18.0;15.0;4.22;10000.0;2026-05-04 08:46:57.877173785;{'Day': 26, 'Hour': 17, 'Minute': 52, 'Month': 5}
MAGELLAN;211515380;Rotterdam;Antwerp;2.8;110.0;12.0;10.0;1.79;10000.0;2026-05-04 09:17:31.952291285;{'Day': 30, 'Hour': 16, 'Minute': 59, 'Month': 4}
MSC SALERNO         ;636025635;Rotterdam;Antwerp;14.9;366.0;51.0;10.0;1.79;10000.0;2026-05-04 09:18:40.824476022;{'Day': 30, 'Hour': 9, 'Minute': 30, 'Month': 4}
MEJORA              ;244650537;Rotterdam;Antwerp;1.3;135.0;12.0;10.0;1.79;10000.0;2026-05-04 09:23:34.460082604;{'Day': 29, 'Hour': 18, 'Minute': 7, 'Month': 4}
TETHYS HIGHWAY      ;431476000;Antwerp;Bremerhaven;8.4;199.0;38.0;2.0;7.09;6188.0;2026-05-04 09:33:20.552225194;{'Day': 30, 'Hour': 6, 'Minute': 30, 'Month': 4}
MI-MUNDO;244139567;Rotterdam;Antwerp;2.5;110.0;12.0;10.0;1.79;10000.0;2026-05-04 09:37:55.060674906;{'Day': 28, 'Hour': 5, 'Minute': 49, 'Month': 5}
OTTER;244139023;Antwerp;Rotterdam;3.4;110.0;12.0;15.0;4.22;10000.0;2026-05-04 09:46:13.727269049;{'Day': 11, 'Hour': 7, 'Minute': 41, 'Month': 5}
ETERNITY;244710484;Antwerp;Rotterdam;2.0;110.0;12.0;15.0;4.22;10000.0;2026-05-04 09:49:07.779044487;{'Day': 27, 'Hour': 2, 'Minute': 5, 'Month': 5}
MUREEN;244660108;Rotterdam;Antwerp;0.0;135.0;23.0;10.0;1.79;10000.0;2026-05-04 09:50:00.797817864;{'Day': 7, 'Hour': 17, 'Minute': 54, 'Month': 5}
ROSSINI;205490890;Rotterdam;Antwerp;1.7;110.0;12.0;10.0;1.79;10000.0;2026-05-04 09:56:02.377715559;{'Day': 26, 'Hour': 17, 'Minute': 7, 'Month': 4}
SENDO NAVE ;244076746;Rotterdam;Antwerp;1.0;123.0;15.0;7.0;1.79;10000.0;2026-05-04 10:40:56.942238228;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
TASMANZEE;205553090;Rotterdam;Antwerp;1.8;135.0;18.0;7.0;1.79;10000.0;2026-05-04 11:01:57.390486121;{'Day': 26, 'Hour': 19, 'Minute': 2, 'Month': 5}
ATLANTIC PRESTIGE   ;244700991;Antwerp;Rotterdam;1.0;135.0;14.0;16.0;4.22;10000.0;2026-05-04 11:08:24.530522372;{'Day': 23, 'Hour': 10, 'Minute': 33, 'Month': 5}
MERSCH;244372228;Antwerp;Rotterdam;1.4;82.0;10.0;26.0;4.22;10000.0;2026-05-04 11:34:24.708309280;{'Day': 5, 'Hour': 19, 'Minute': 55, 'Month': 5}
PATARA;218818000;Vancouver;Los;8.1;182.0;30.0;7.0;;;2026-05-04 13:36:11.458045765;{'Day': 16, 'Hour': 1, 'Minute': 0, 'Month': 5}
CHARIS              ;205528890;Rotterdam;Antwerp;0.0;135.0;15.0;16.0;1.79;10000.0;2026-05-04 14:06:55.936056493;{'Day': 22, 'Hour': 9, 'Minute': 21, 'Month': 5}
COMPONIST;244670209;Rotterdam;Antwerp;3.9;135.0;11.0;6.0;1.79;10000.0;2026-05-04 15:04:53.529145369;{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}
STOLT DONAU;205376090;Antwerp;Rotterdam;1.5;110.0;14.0;14.0;4.22;10000.0;2026-05-04 16:48:33.914885540;{'Day': 25, 'Hour': 13, 'Minute': 40, 'Month': 5}
SAFFIRA;244710843;Antwerp;Rotterdam;0.2;86.0;9.0;7.0;4.22;10000.0;2026-05-04 17:51:59.430843092;{'Day': 22, 'Hour': 7, 'Minute': 0, 'Month': 4}
VANCOUVER EXPRESS   ;636018701;Rotterdam;Hamburg;13.4;368.0;51.0;19.0;5.14;10000.0;2026-05-04 19:42:17.911977155;{'Day': 7, 'Hour': 16, 'Minute': 0, 'Month': 5}
JULIA;244070891;Antwerp;Rotterdam;2.7;110.0;12.0;20.0;4.22;10000.0;2026-05-04 22:47:16.994049280;{'Day': 10, 'Hour': 22, 'Minute': 43, 'Month': 5}
EVELINE             ;244615524;Rotterdam;Antwerp;0.0;86.0;12.0;6.0;1.79;10000.0;2026-05-04 23:05:21.578501220;{'Day': 25, 'Hour': 11, 'Minute': 16, 'Month': 5}
BJORG;305299000;Hamburg;Bremerhaven;6.1;134.0;22.0;4.0;7.09;6188.0;2026-05-05 03:51:13.690996852;{'Day': 28, 'Hour': 10, 'Minute': 0, 'Month': 5}
TULIPA SEAWAYS;277548000;Rotterdam;Felixstowe;6.1;209.0;26.0;0.0;2.24;10000.0;2026-05-05 03:51:35.573048172;{'Day': 28, 'Hour': 14, 'Minute': 15, 'Month': 5}
THULELAND;266248000;Rotterdam;Felixstowe;6.6;191.0;26.0;0.0;2.24;10000.0;2026-05-05 03:51:47.120315319;{'Day': 28, 'Hour': 3, 'Minute': 0, 'Month': 5}
MSC MATILDE V;353719000;Bremerhaven;Le;11.0;294.0;32.0;7.0;;;2026-05-05 03:52:03.029743820;{'Day': 7, 'Hour': 12, 'Minute': 45, 'Month': 5}
KARBOUW;244660086;Antwerp;Rotterdam;1.6;110.0;12.0;24.0;4.22;10000.0;2026-05-05 03:53:45.512306329;{'Day': 9, 'Hour': 16, 'Minute': 56, 'Month': 5}
ORANJE NASSAU 2;244620876;Antwerp;Rotterdam;4.2;110.0;14.0;24.0;4.22;10000.0;2026-05-05 04:04:52.845849653;{'Day': 28, 'Hour': 18, 'Minute': 39, 'Month': 5}
RELATIONSHIP;211511900;Rotterdam;Antwerp;2.5;110.0;11.0;4.0;1.79;10000.0;2026-05-05 06:15:51.751207227;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
DELTA;244670735;Antwerp;Rotterdam;2.5;86.0;12.0;24.0;4.22;10000.0;2026-05-05 06:55:55.173123256;{'Day': 11, 'Hour': 12, 'Minute': 9, 'Month': 5}
TRANQUILO;244070504;Antwerp;Rotterdam;1.9;110.0;14.0;13.0;4.22;10000.0;2026-05-05 15:17:31.921706109;{'Day': 8, 'Hour': 6, 'Minute': 36, 'Month': 5}
PATRICIA            ;244700326;Antwerp;Rotterdam;2.7;122.0;14.0;15.0;4.22;10000.0;2026-05-05 18:16:09.349007805;{'Day': 10, 'Hour': 19, 'Minute': 17, 'Month': 5}
USHUAIA;244660962;Rotterdam;Antwerp;3.8;187.0;12.0;6.0;1.79;10000.0;2026-05-05 22:18:03.571612542;{'Day': 15, 'Hour': 15, 'Minute': 0, 'Month': 5}
SENDO MARE;244181802;Antwerp;Rotterdam;3.9;124.0;15.0;24.0;4.22;10000.0;2026-05-06 02:33:21.628088789;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
SKALAR;255806476;Hamburg;Rotterdam;6.8;151.0;24.0;14.0;4.22;10000.0;2026-05-06 06:53:47.540546037;{'Day': 20, 'Hour': 5, 'Minute': 0, 'Month': 5}
MANU FORTI;244670140;Rotterdam;Antwerp;0.0;85.0;10.0;5.0;1.79;10000.0;2026-05-06 08:50:47.765349142;{'Day': 24, 'Hour': 9, 'Minute': 0, 'Month': 5}
KAAN KALKAVAN;271043028;New;Savannah;10.5;183.0;28.0;0.0;1.99;10000.0;2026-05-06 13:37:37.154647570;{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}
USHUAIA;244660962;Antwerp;Rotterdam;3.8;187.0;12.0;19.0;4.22;10000.0;2026-05-07 01:24:47.314509832;{'Day': 15, 'Hour': 15, 'Minute': 0, 'Month': 5}
MSC KATYAYNI VI     ;351675000;Le;Antwerp;14.2;275.0;40.0;3.0;1.79;10000.0;2026-05-07 08:36:42.610854229;{'Day': 17, 'Hour': 6, 'Minute': 0, 'Month': 5}
CMA CGM LEBU;229820000;Antwerp;Le;9.2;260.0;32.0;6.0;;;2026-05-07 09:13:36.436406756;{'Day': 4, 'Hour': 13, 'Minute': 0, 'Month': 5}
MSC KATYAYNI VI     ;351675000;Antwerp;Le;14.2;275.0;40.0;7.0;;;2026-05-07 09:17:44.866859370;{'Day': 17, 'Hour': 6, 'Minute': 0, 'Month': 5}
CHEMICAL SAILOR     ;249022000;Rotterdam;Antwerp;8.7;126.0;20.0;6.0;1.79;10000.0;2026-05-07 09:38:30.622044893;{'Day': 14, 'Hour': 18, 'Minute': 0, 'Month': 5}
MSC KATYAYNI VI     ;351675000;Antwerp;Le;14.2;275.0;40.0;7.0;;;2026-05-07 09:38:43.194202043;{'Day': 17, 'Hour': 6, 'Minute': 0, 'Month': 5}
YE86 CORNELIS;244032000;Rotterdam;Antwerp;1.2;37.0;7.0;6.0;1.79;10000.0;2026-05-07 09:40:14.199192484;{'Day': 26, 'Hour': 0, 'Minute': 0, 'Month': 9}
CHEMICAL SAILOR     ;249022000;Antwerp;Rotterdam;8.7;126.0;20.0;6.0;4.22;10000.0;2026-05-07 09:53:46.506583052;{'Day': 14, 'Hour': 18, 'Minute': 0, 'Month': 5}
MSC KATYAYNI VI     ;351675000;Antwerp;Le;14.2;275.0;40.0;5.0;;;2026-05-07 10:05:42.044997391;{'Day': 17, 'Hour': 6, 'Minute': 0, 'Month': 5}
MSC KATYAYNI VI     ;351675000;Antwerp;Le;14.2;275.0;40.0;4.0;;;2026-05-07 10:35:43.595071578;{'Day': 17, 'Hour': 6, 'Minute': 0, 'Month': 5}
CHEMICAL SAILOR     ;249022000;Antwerp;Rotterdam;8.7;126.0;20.0;8.0;4.22;10000.0;2026-05-07 11:35:46.327084582;{'Day': 14, 'Hour': 18, 'Minute': 0, 'Month': 5}
CHEMICAL SAILOR     ;249022000;Antwerp;Rotterdam;8.7;126.0;20.0;8.0;4.22;10000.0;2026-05-07 11:44:45.252170201;{'Day': 14, 'Hour': 18, 'Minute': 0, 'Month': 5}
CHEMICAL SAILOR     ;249022000;Antwerp;Rotterdam;8.7;126.0;20.0;9.0;4.22;10000.0;2026-05-07 12:44:45.285952064;{'Day': 14, 'Hour': 18, 'Minute': 0, 'Month': 5}
BIRTHE ESSBERGER    ;255806320;Antwerp;Felixstowe;5.6;99.0;17.0;0.0;2.24;10000.0;2026-05-07 12:56:08.080491968;{'Day': 28, 'Hour': 10, 'Minute': 0, 'Month': 5}
